Player,Team,Salary
"Anderson, Matt",Detroit Tigers,3200000.0
"Bernero, Adam",Detroit Tigers,314000.0
"Bonderman, Jeremy",Detroit Tigers,300000.0
"Cornejo, Nate",Detroit Tigers,303000.0
"German, Franklyn",Detroit Tigers,300000.0
"Knotts, Gary",Detroit Tigers,305000.0
"Ledezma, Wilfredo",Detroit Tigers,300000.0
"Maroth, Mike",Detroit Tigers,309000.0
"Patterson, Danny",Detroit Tigers,2500000.0
"Roney, Matt",Detroit Tigers,300000.0
"Sparks, Steve",Detroit Tigers,4500000.0
"Spurling, Chris",Detroit Tigers,305000.0
"Walker, Jamie",Detroit Tigers,360000.0
"Carrara, Giovanni",Seattle Mariners,400000.0
"Franklin, Ryan",Seattle Mariners,425000.0
"Garcia, Freddy",Seattle Mariners,6875000.0
"Hasegawa, Shigetoshi",Seattle Mariners,1800000.0
"Mateo, Julio",Seattle Mariners,302500.0
"Meche, Gil",Seattle Mariners,325000.0
"Moyer, Jamie",Seattle Mariners,6500000.0
"Nelson, Jeff",Seattle Mariners,3983333.0
"Pineiro, Joel",Seattle Mariners,440000.0
"Rhodes, Arthur",Seattle Mariners,3500000.0
"Sasaki, Kazuhiro",Seattle Mariners,8000000.0
"Bowie, Micah",Oakland Athletics,304000.0
"Bradford, Chad",Oakland Athletics,331000.0
"Fikac, Jeremy",Oakland Athletics,316000.0
"Foulke, Keith",Oakland Athletics,6000000.0
"Halama, John",Oakland Athletics,750000.0
"Hudson, Tim",Oakland Athletics,2700000.0
"Lilly, Ted",Oakland Athletics,335000.0
"Mecir, Jim",Oakland Athletics,3216667.0
"Mulder, Mark",Oakland Athletics,2650000.0
"Neu, Mike",Oakland Athletics,300000.0
"Rincon, Ricardo",Oakland Athletics,1700000.0
"Zito, Barry",Oakland Athletics,1000000.0
"Cordero, Francisco",Texas Rangers,900000.0
"Fultz, Aaron",Texas Rangers,600000.0
"Garcia, Reynaldo",Texas Rangers,300000.0
"Lewis, Colby",Texas Rangers,302500.0
"Nitkowski, CJ",Texas Rangers,550000.0
"Park, Chan Ho",Texas Rangers,13000000.0
"Powell, Jay",Texas Rangers,3250000.0
"Thomson, John",Texas Rangers,1300000.0
"Urbina, Ugueth",Texas Rangers,4500000.0
"Valdes, Ismael",Texas Rangers,2500000.0
"Van Poppel, Todd",Texas Rangers,2500000.0
"Yan, Esteban",Texas Rangers,1500000.0
"Zimmerman, Jeff",Texas Rangers,3366667.0
